name,label,category,reason
王安石,1,人物,北宋宰相、變法領袖，與蘇軾同代且政見相左，蘇軾深知其人。
司馬光,1,人物,北宋史學家、舊黨領袖，蘇軾的同代政治人物。
歐陽脩,1,人物,北宋文壇領袖，蘇軾的座師與提攜者。
蘇洵,1,人物,蘇軾之父，三蘇之一。
蘇轍,1,人物,蘇軾之弟，三蘇之一，兄弟情深。
王弗,1,人物,蘇軾元配妻子，〈江城子〉悼亡詞所念之人。
宋神宗,1,人物,蘇軾在世時的皇帝，熙寧變法推行者。
宋仁宗,1,人物,蘇軾中進士時在位的皇帝。
黃庭堅,1,人物,蘇門四學士之一，與蘇軾亦師亦友。
秦觀,1,人物,蘇門四學士之一，蘇軾門生。
佛印,1,人物,與蘇軾交遊的禪僧，留下諸多機鋒故事。
李白,1,人物,唐代詩人，蘇軾熟讀其詩，時代在前。
杜甫,1,人物,唐代詩聖，蘇軾推崇備至的前代詩人。
陶淵明,1,人物,東晉詩人，蘇軾極為欽慕並曾遍和其詩。
白居易,1,人物,唐代詩人，蘇軾自號『東坡』即受白居易忠州東坡啟發。
孔子,1,人物,春秋思想家，蘇軾受儒家教育，自然熟知。
莊子,1,人物,戰國思想家，蘇軾思想深受其影響。
屈原,1,人物,戰國詩人，蘇軾熟知的前代文人。
諸葛亮,1,人物,三國名相，蘇軾文中屢有提及。
周瑜,1,人物,三國名將，〈念奴嬌·赤壁懷古〉所詠人物。
赤壁,1,地理,蘇軾貶黃州時遊覽並寫下前後赤壁賦之地。
黃州,1,地理,蘇軾因烏台詩案被貶之地，東坡之號由此而來。
惠州,1,地理,蘇軾晚年再貶之地，留下『日啖荔枝三百顆』。
儋州,1,地理,蘇軾貶謫海南之地，宋時極偏遠。
杭州,1,地理,蘇軾兩度任職之地，主持疏濬西湖築蘇堤。
西湖,1,地理,蘇軾任杭州時整治，蘇堤即其政績。
汴京（開封）,1,地理,北宋都城，蘇軾任官與應試之地。
眉山,1,地理,蘇軾的故鄉，四川眉州。
廬山,1,地理,蘇軾遊歷之地，『不識廬山真面目』出此。
烏台詩案,1,事件,蘇軾因詩文獲罪下獄的著名政治事件。
熙寧變法,1,事件,王安石推行的新法，蘇軾親歷並反對。
科舉制度,1,制度,蘇軾即經由科舉中進士入仕。
活字印刷,1,技術,畢昇於北宋慶曆年間發明，蘇軾同代之技術。
火藥,1,技術,北宋時已用於軍事，蘇軾時代已存在。
指南針（司南）,1,技術,北宋已用於堪輿與航海，沈括《夢溪筆談》有載。
茶（點茶）,1,文化,宋代盛行點茶鬥茶，蘇軾本人嗜茶並有茶詩。
毛筆,1,器物,蘇軾日常書寫工具，本身也是書法名家。
宣紙,1,器物,宋代文人書畫用紙，蘇軾常用。
古琴,1,器物,宋代文人雅器，蘇軾通音律。
論語,1,典籍,儒家經典，蘇軾自幼研讀。
詩經,1,典籍,先秦經典，蘇軾熟讀的詩歌源頭。
史記,1,典籍,司馬遷所著，蘇軾常引用的史書。
禪宗,1,宗教,宋代盛行，蘇軾與多位禪僧交遊並習禪。
道教,1,宗教,蘇軾晚年習養生煉丹，深涉道教。
荔枝,1,物產,蘇軾貶惠州時所食，留下名句。
東坡肉,1,飲食,相傳與蘇軾相關的菜餚，他確有〈豬肉頌〉論燉豬肉之法。
黃河,1,地理,中國母親河，蘇軾時代的核心地理。
長江,1,地理,蘇軾遊赤壁、貶謫途中屢經之大江。
書法（行書）,1,文化,蘇軾為宋四家之首，〈寒食帖〉傳世。
水墨畫,1,文化,蘇軾倡導文人畫，畫墨竹枯木。
智慧型手機,0,科技,20世紀末至21世紀產物，遠在蘇軾(歿1101)之後。
網際網路,0,科技,20世紀發明，蘇軾不可能知道。
人工智慧,0,科技,現代電腦科學概念，蘇軾時代無此物。
電,0,科技,電力應用為18–19世紀之後，蘇軾不知。
汽車,0,科技,19世紀末發明的內燃機車輛。
飛機,0,科技,20世紀初萊特兄弟發明。
電視,0,科技,20世紀產物。
電腦,0,科技,20世紀中葉發明。
火車,0,科技,19世紀蒸汽機車產物。
電燈,0,科技,19世紀末愛迪生等人發展。
相機（照相機）,0,科技,19世紀攝影術發明。
疫苗,0,科技,18世紀末詹納牛痘以後的醫學產物。
抗生素,0,科技,20世紀盤尼西林等發現。
原子彈,0,科技,20世紀核子武器。
太空船,0,科技,20世紀航太產物。
塑膠,0,科技,20世紀合成材料。
石油（現代工業用）,0,科技,現代石油工業為19世紀後，宋代無此概念。
青黴素,0,科技,20世紀抗生素，蘇軾不知。
DNA,0,科學,20世紀分子生物學概念。
地球繞太陽（日心說）,0,科學,哥白尼16世紀提出，蘇軾時代為地心觀念。
牛頓,0,人物,17世紀英國科學家，晚於蘇軾數百年。
愛因斯坦,0,人物,20世紀物理學家。
孔子的『論語集注』作者朱熹,0,人物,朱熹1130年生，晚於蘇軾歿年，蘇軾未及見。
成吉思汗,0,人物,12–13世紀蒙古領袖，晚於蘇軾。
馬可波羅,0,人物,13世紀威尼斯旅行家，晚於蘇軾。
朱元璋,0,人物,14世紀明朝開國皇帝。
乾隆皇帝,0,人物,18世紀清朝皇帝。
孫中山,0,人物,19–20世紀人物。
莎士比亞,0,人物,16–17世紀英國劇作家。
哥倫布,0,人物,15世紀航海家，蘇軾後數百年。
岳飛,0,人物,1103年生，晚於蘇軾歿年(1101)，蘇軾未及見。
李清照（成名後）,0,人物,李清照1084生，蘇軾歿時她僅十餘歲，其代表作多在蘇軾身後。
辛棄疾,0,人物,1140年生，南宋詞人，晚於蘇軾。
元朝,0,事件,13世紀建立的朝代，晚於北宋。
明朝,0,事件,14世紀建立。
清朝,0,事件,17世紀建立。
鴉片戰爭,0,事件,19世紀中英戰爭。
辛亥革命,0,事件,1911年事件。
第二次世界大戰,0,事件,20世紀全球戰爭。
美國,0,地理,18世紀建國，蘇軾不知美洲。
美洲大陸,0,地理,1492年才為舊大陸所知，蘇軾時代未知。
澳洲,0,地理,近代才為歐洲人探知的大陸。
紐約,0,地理,近代北美城市。
臺灣（作為政治實體）,0,地理,宋代臺灣尚未納入中原政治視野與開發。
咖啡,0,飲食,咖啡傳入東亞為近代之事，蘇軾飲茶不識咖啡。
巧克力,0,飲食,源自美洲可可，大航海後才傳開。
辣椒,0,飲食,原產美洲，明代後才傳入中國，蘇軾不識。
番茄,0,飲食,原產美洲，明代後傳入。
馬鈴薯,0,飲食,原產美洲，明代後傳入。
微積分,0,科學,17世紀牛頓、萊布尼茲創立的數學，晚於蘇軾。
